Index,Hero,Pick Rate ,Win Rate,Tie Rate,On Fire,Hero Type,System
1,Ana,0.1177,0.5082,0.0202,0.0944,Support,PC
3,Reinhardt,0.0942,0.5289,0.0224,0.0818,Tank,PC
5,Zarya,0.0867,0.5268,0.021,0.117,Tank,PC
7,Mercy,0.0824,0.5137,0.0212,0.0228,Support,PC
9,McCree,0.0512,0.4876,0.0163,0.0871,Offense,PC
11,Moira,0.0406,0.4764,0.0205,0.0605,Support,PC
13,Roadhog,0.0402,0.4781,0.0156,0.0789,Tank,PC
15,Lúcio,0.0358,0.528,0.0171,0.1137,Support,PC
17,Soldier: 76,0.0333,0.5042,0.0181,0.0968,Offense,PC
19,Genji,0.0328,0.5067,0.0174,0.1149,Offense,PC
21,Zenyatta,0.0327,0.5408,0.0173,0.0736,Support,PC
23,Sigma,0.0319,0.502,0.0198,0.1165,Tank,PC
25,Wrecking Ball,0.0303,0.5057,0.0155,0.0274,Tank,PC
27,Baptiste,0.0292,0.4912,0.0225,0.1188,Support,PC
29,Ashe,0.0274,0.5127,0.019,0.0764,Offense,PC
31,Hanzo,0.0272,0.4951,0.0189,0.1099,Defense,PC
33,Winston,0.0224,0.4853,0.0156,0.0581,Tank,PC
35,Tracer,0.0221,0.4969,0.0142,0.0643,Offense,PC
37,Junkrat,0.0218,0.5167,0.0241,0.1085,Defense,PC
39,D.Va,0.0194,0.4984,0.0176,0.0666,Tank,PC
41,Reaper,0.0171,0.5017,0.0165,0.1358,Offense,PC
43,Widowmaker,0.0149,0.497,0.0142,0.0629,Defense,PC
45,Doomfist,0.0134,0.5302,0.015,0.0717,Offense,PC
47,Echo,0.0132,0.5077,0.0186,0.0786,Offense,PC
49,Pharah,0.0124,0.526,0.017,0.1339,Offense,PC
51,Brigitte,0.0106,0.5059,0.0147,0.0543,Support,PC
53,Torbjörn,0.0105,0.5673,0.0236,0.0723,Defense,PC
55,Sombra,0.0071,0.4708,0.0163,0.1217,Offense,PC
57,Orisa,0.007,0.4853,0.0189,0.0645,Tank,PC
59,Symmetra,0.0065,0.5879,0.0245,0.0888,Support,PC
61,Mei,0.0054,0.4906,0.0197,0.078,Defense,PC
63,Bastion,0.0029,0.5319,0.0214,0.1457,Defense,PC
66,Mercy,0.1039,0.5113,0.0212,0.0231,Support,PLAYSTATION
68,Reinhardt,0.0978,0.5269,0.0226,0.0872,Tank,PLAYSTATION
70,Ana,0.0806,0.4968,0.0201,0.0873,Support,PLAYSTATION
72,Zarya,0.0726,0.5199,0.0212,0.1284,Tank,PLAYSTATION
74,Lúcio,0.0527,0.537,0.0175,0.1258,Support,PLAYSTATION
76,Moira,0.0483,0.4817,0.0203,0.06,Support,PLAYSTATION
78,Roadhog,0.0451,0.4785,0.0148,0.0981,Tank,PLAYSTATION
80,McCree,0.0428,0.4984,0.0148,0.0989,Offense,PLAYSTATION
82,D.Va,0.0386,0.5108,0.0174,0.0941,Tank,PLAYSTATION
84,Soldier: 76,0.0344,0.5025,0.0171,0.1136,Offense,PLAYSTATION
86,Ashe,0.0327,0.503,0.0184,0.0929,Offense,PLAYSTATION
88,Junkrat,0.0316,0.5222,0.0251,0.1222,Defense,PLAYSTATION
90,Wrecking Ball,0.0312,0.5039,0.0152,0.0333,Tank,PLAYSTATION
92,Sigma,0.0293,0.5028,0.0209,0.1285,Tank,PLAYSTATION
94,Zenyatta,0.0254,0.5259,0.0181,0.0937,Support,PLAYSTATION
96,Baptiste,0.0251,0.4911,0.0236,0.1224,Support,PLAYSTATION
98,Genji,0.022,0.4925,0.0164,0.1016,Offense,PLAYSTATION
100,Reaper,0.0193,0.5042,0.0156,0.1456,Offense,PLAYSTATION
102,Hanzo,0.0175,0.4877,0.0187,0.1145,Defense,PLAYSTATION
